    本文件用以存放华容道小程序的“地图”（初始人物布局）数据。总体地图是一个5 * 4的矩阵。如用数字-1表示无人，其他相同数字表示被同一个人占据，下面是一个完整的地图：
0  0  2  2
0  0  3  3
6  1  4  4
7  1  5  5
8  9 -1 -1
上面的地图译成角色状态表即可得到第一关的地图。

关卡以井号加上关名开始。
之后每行代表一个角色的数据，按顺序分别是曹操、关羽、张飞、赵云、马超、黄忠及四个小兵，对应地图中的 0 - 9。其中各部分表示“起始x  起始y  卡片种类”。小兵的卡片种类必须是1！

#一夫当关@
0 0 0
1 2 1
2 0 0
2 1 0
2 2 0
2 3 0
0 2 1
0 3 1
0 4 1
1 4 1
#一字长蛇@
0 0 0
2 2 1
0 3 0
0 2 0
2 0 0
2 1 0
3 2 1
3 3 1
3 4 1
2 4 1
#天罗地网@
1 0 0
1 3 0
0 2 0
0 0 1
0 3 1
3 3 1
3 0 1
3 1 1
3 2 1
2 2 1
#铜墙铁壁@
1 0 0
1 4 0
1 3 0
1 2 0
3 0 1
0 0 1
0 2 1
0 3 1
3 2 1
3 3 1
#四面楚歌@
1 1 0
1 3 0
0 0 0
0 3 1
0 1 1 
3 1 1
2 0 1
3 0 1
3 3 1
3 4 1
#逃之夭夭@
0 0 0
1 4 0
0 3 0
2 3 0
2 0 0
2 1 0
0 2 1
1 2 1
2 2 1
3 2 1
#横眉立目@
1 0 0
2 2 0
1 3 1
0 3 1
3 0 1
0 0 1
0 2 1
1 2 1
2 3 1
3 3 1
#网开一面@
2 0 0
3 3 1
0 1 0
0 2 0
0 3 0
2 2 0
0 4 1
1 4 1
2 4 1
2 3 1
#羊肠小道@
1 1 0
3 3 1
0 3 1
1 3 1
0 0 0 
2 0 0
0 1 1
0 2 1
3 1 1
3 2 1
#壁垒森严@
1 1 0
1 0 0
0 3 1
1 3 1
2 3 1
3 3 1
0 1 1
0 2 1
3 1 1
3 2 1 
#勇闯五关@
1 0 0
1 4 0
0 2 0
2 2 0
0 3 0
2 3 0
0 0 1
0 1 1
3 0 1
3 1 1
#水泄不通@
1 0 0
2 3 0
3 0 1
0 2 0
2 2 0
0 3 0
0 0 1
0 1 1
0 4 1
3 4 1
#横刀立马@
1 0 0
1 2 0
0 0 1
3 0 1
0 2 1
3 2 1
0 4 1
1 3 1
2 3 1
3 4 1
#小燕出巢@
1 0 0
1 3 0
0 0 1
3 0 1
0 2 0
2 2 0
0 3 1
3 3 1
0 4 1
3 4 1
#近在咫尺@
2 3 0
0 3 0
1 0 1
2 0 1
3 0 1
0 2 0
2 2 1
3 2 1
0 0 1
0 1 1
#走投无路（Dead）@
1 0 0
3 2 1
0 0 1
3 0 1
0 2 1
1 2 1
0 4 1
3 4 1
2 2 1
2 3 1




