日语一级至四级级词汇表																
汉字	假名(读音)	词性	词义
ああ	ああ	副，感	那样，啊
愛	あい	名	慈爱；（对异性的）爱情；爱好
藍	あい	名	蓝色
相容れない	あいいれない	形	不一致；不融洽
相打つ，相搏つ	あいうつ	自五	搏斗；激战
愛煙家	あいえんか	名	喜欢吸烟的人
哀歌	あいか	名	哀歌；悲歌
合鍵	あいかぎ	名	配制的钥匙
相方	あいかた	名	对方；顾客、客户；对象、对手
相変わらず	あいかわらず	副	照旧、仍旧
哀願	あいがん	名，サ変	哀求、恳求
愛玩	あいがん	名，サ変	玩赏、欣赏；宠物、玩赏品
愛嬌	あいきよう	名	和蔼、可爱、动人之处
愛犬	あいけん	名	爱犬
愛顧	あいこ	名，サ変	爱顾、惠顾
愛護	あいご	名，サ変	爱护、爱惜
愛好	あいこう	名，サ変	爱好
愛国	あいこく	名	爱国
合言葉	あいことば	名	暗语；标语
愛妻	あいさい	名	爱妻、爱妻子
挨拶	あいさつ	名，サ変	点头；致词；寒暄、问候
愛児	あいじ	名	爱子
愛着	あいじゃく,あいちゃく	名，サ変	眷恋、不能忘怀
哀愁	あいしゅう	名	哀愁
愛称	あいしょう	名	爱称
相性	あいしょう	名	男女、主仆、朋友之间投缘
愛情	あいじょう	名	热情；爱情
愛人	あいじん	名	情人（情夫、情妇）
合図	あいず	名，サ変	暗号、信号
愛する	あいする	サ変	疼爱；喜好
愛惜	あいせき	名，サ変	爱惜；珍惜
愛想	あいそ	名	和蔼、亲切；好感；招待；算账
間	あいだ	名	间隔、期间；中间
間柄	あいだがら	名	关系、交情
哀調	あいちょう	名	悲调
相次ぐ，相継ぐ	あいつぐ	子午	相继发生
相槌	あいづち	名	随声附和
相手	あいて	名	伙伴；对方、对手
哀悼	あいとう	名，サ変	哀悼
愛読	あいどく	名，サ変	爱读、好读
生憎	あいにく	形動，副	不凑巧、偏巧
愛撫	あいぶ	名，サ変	爱抚
愛慕	あいぼ	名，サ変	爱慕
曖昧	あいまい	形動	含糊、暧昧；可疑、不正当的
相俟って	あいまって	副	相结合、相辅
愛用	あいよう	名，サ変	爱用、常用
愛欲	あいよく	名	爱欲、情欲
会う	あう	自五	会面、见面
逢う	あう	自五	偶然碰见
合う	あう	自五，補助	一致、符合；互相
遭う，遇う	あう	自五	遇到、遭遇
喘ぐ	あえぐ	自五	喘息、挣扎
敢えて	あえて	副	强行、斗胆；未必、不必
和える	あえる	他下一	（用盐、醋、酱和芝麻等）拌食品
亜鉛	あえん	名	锌
青い	あおい	形	青色、蓝色、绿色；不成熟
葵	あおい	名	葵、葵类植物总称
蒼い	あおい	形	脸色不好
仰ぐ	あおぐ	他五	仰视；尊敬；依靠、仰仗；一口气喝完
扇ぐ	あおぐ	他五	扇风
煽ぐ	あおぐ	他五	煽动
青臭い	あおくさい	形	有青草味；不成熟的
青写真	あおじゃしん	名	设计图；计划
青白い，蒼白い	あおじろい	形	脸色苍白、无血色
青信号	あおしんごう	名	绿灯
青空	あおぞら	名	碧空；室外、露天
青田	あおた	名	青苗地
青田刈り	あおたがり	名	割青苗；敲定、录用在校学生
青菜	あおな	名	青草、青菜
青二才	あおにさい	名	毛孩子（用于贬义）
仰向く	あおむく	自五	仰面；仰起
煽り	あおり	名	（暴风的）冲击；牵累、余波；煽动
煽る	あおる	塔五	煽动；哄抬
垢	あか	名	污垢；水垢
赤	あか	名	红色；完全
赤い	あかい	形	红色的；共产主义的
足掻く	あがく	自五	（马用前蹄）刨地；挣扎；焦躁
赤字	あかじ	名	红笔字；亏损、赤字
赤信号	あかしんごう	名	红灯；危险信号、警告
